"acc_varcompanyname";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
Пригородный;1334;5;1273;7;0.0037;0.9543;0.0052
Фили-Бейкер;56141;0;0;52;0.0000;0.0000;0.0009
"ТД ""Сиберия";114;0;0;0;0.0000;0.0000;0.0000
АФИПСКИЙ ХЛЕБОКОМБИНАТ;1554;0;0;0;0.0000;0.0000;0.0000
Стар Экспо;1;0;0;0;0.0000;0.0000;0.0000
Фирма Мортадель;8;6;0;0;0.7500;0.0000;0.0000
Саткинский хлебокомбинат;29;0;0;0;0.0000;0.0000;0.0000
ПРОДО Птицефабрика Пермская;410;0;0;0;0.0000;0.0000;0.0000
Ресурс;5;0;0;0;0.0000;0.0000;0.0000
Аквапром;79;0;0;0;0.0000;0.0000;0.0000
test;3;3;0;0;1.0000;0.0000;0.0000
Орел-Ойл;15;0;0;0;0.0000;0.0000;0.0000
Корсар;5;5;0;0;1.0000;0.0000;0.0000
Улаев Александр Викторович;2;1;0;0;0.5000;0.0000;0.0000
Торговый Дом РАПТ;1;0;0;0;0.0000;0.0000;0.0000
ПРОДИМЕКС-Холдинг;1;0;0;0;0.0000;0.0000;0.0000
ТД Армениум;2;1;1;0;0.5000;0.5000;0.0000
Цимлянские вина;24;22;0;0;0.9167;0.0000;0.0000
"Кондитерский Дом ""Меркурий";2175;777;1042;0;0.3572;0.4791;0.0000
Баргус Трейд;1;0;0;0;0.0000;0.0000;0.0000
Пласт-Дон;1;1;0;0;1.0000;0.0000;0.0000
Станд-Арт;13;0;0;0;0.0000;0.0000;0.0000
ЛМ-ФУД;23;0;0;0;0.0000;0.0000;0.0000
Эф Эй Би;2;1;1;0;0.5000;0.5000;0.0000
ПРОФТОРГ;3;2;0;0;0.6667;0.0000;0.0000
МЕРКУРИЙ;2503;0;0;0;0.0000;0.0000;0.0000
РАДА;8;0;0;0;0.0000;0.0000;0.0000
ТК Сантис;1;0;0;0;0.0000;0.0000;0.0000
Велес Центр;1;0;0;0;0.0000;0.0000;0.0000
